steps,reward
2000.0,-30.79
4000.0,-28.1
6000.0,-28.0
8000.0,-27.16
10000.0,-20.36
12000.0,-24.99
14000.0,-25.05
16000.0,-20.34
18000.0,-20.65
20000.0,-10.95
22000.0,-21.05
24000.0,-13.78
26000.0,-5.64
28000.0,-12.0
30000.0,-13.27
32000.0,-10.04
34000.0,-5.93
36000.0,-11.82
38000.0,-8.88
40000.0,-12.27
42000.0,-0.01
44000.0,3.37
46000.0,4.22
48000.0,1.92
50000.0,3.54
52000.0,6.43
54000.0,1.11
56000.0,6.67
58000.0,2.13
60000.0,0.98
62000.0,-3.71
64000.0,5.43
66000.0,5.34
68000.0,13.54
70000.0,12.66
72000.0,7.32
74000.0,3.24
76000.0,14.96
78000.0,5.01
80000.0,8.24
82000.0,3.55
84000.0,7.82
86000.0,8.54
88000.0,11.73
90000.0,9.73
92000.0,10.87
94000.0,15.26
96000.0,5.48
98000.0,11.34
100000.0,9.38
102000.0,12.19
104000.0,11.4
106000.0,11.32
108000.0,17.67
110000.0,16.4
112000.0,5.38
114000.0,10.5
116000.0,12.43
118000.0,19.5
120000.0,9.58
122000.0,11.09
124000.0,15.43
126000.0,16.84
128000.0,12.88
130000.0,16.9
132000.0,17.22
134000.0,18.34
136000.0,15.4
138000.0,17.15
140000.0,13.87
142000.0,18.88
144000.0,17.23
146000.0,19.46
148000.0,9.05
150000.0,15.27
152000.0,12.38
154000.0,18.26
156000.0,20.16
158000.0,14.47
160000.0,15.65
162000.0,12.7
164000.0,19.63
166000.0,16.04
168000.0,16.72
170000.0,14.49
172000.0,14.83
174000.0,20.48
176000.0,15.0
178000.0,12.07
180000.0,15.67
182000.0,16.7
184000.0,20.22
186000.0,19.44
188000.0,14.27
190000.0,14.17
192000.0,17.2
194000.0,16.55
196000.0,17.34
198000.0,17.36
200000.0,14.58
202000.0,19.36
204000.0,17.73
206000.0,14.21
208000.0,12.17
210000.0,13.89
212000.0,18.36
214000.0,12.21
216000.0,20.39
218000.0,16.8
220000.0,13.93
222000.0,18.11
224000.0,19.83
226000.0,15.29
228000.0,15.12
230000.0,18.75
232000.0,13.67
234000.0,19.28
236000.0,14.59
238000.0,14.61
240000.0,19.56
242000.0,19.93
244000.0,11.45
246000.0,16.8
248000.0,19.0
250000.0,17.27
252000.0,15.32
254000.0,14.12
256000.0,17.0
258000.0,19.19
260000.0,17.18
262000.0,12.88
264000.0,13.83
266000.0,16.89
268000.0,15.91
270000.0,19.9
272000.0,14.43
274000.0,16.2
276000.0,19.09
278000.0,14.58
280000.0,17.31
282000.0,16.7
284000.0,18.8
286000.0,19.91
288000.0,19.51
290000.0,15.77
292000.0,13.96
294000.0,20.78
296000.0,15.86
298000.0,11.65
300000.0,17.38
302000.0,14.64
304000.0,17.7
306000.0,17.84
308000.0,19.26
310000.0,17.58
312000.0,16.11
314000.0,19.01
316000.0,19.13
318000.0,17.16
320000.0,18.15
322000.0,15.35
324000.0,16.74
326000.0,12.08
328000.0,18.81
330000.0,17.47
332000.0,19.41
334000.0,16.33
336000.0,16.78
338000.0,16.32
340000.0,20.93
342000.0,15.2
344000.0,19.64
346000.0,16.49
348000.0,17.76
350000.0,17.94
352000.0,19.02
354000.0,15.52
356000.0,15.07
358000.0,17.03
360000.0,16.78
362000.0,15.95
364000.0,18.42
366000.0,18.52
368000.0,17.3
370000.0,11.87
372000.0,19.56
374000.0,19.12
376000.0,17.7
378000.0,16.27
380000.0,18.97
382000.0,12.78
384000.0,20.48
386000.0,16.55
388000.0,19.16
390000.0,19.47
392000.0,11.56
394000.0,18.95
396000.0,17.61
398000.0,9.24
400000.0,17.39
402000.0,14.82
404000.0,18.4
406000.0,16.04
408000.0,19.69
410000.0,16.64
412000.0,16.9
414000.0,19.35
416000.0,13.07
418000.0,10.75
