1,100001,200001,300001,400001,500001,600001,700001,800001
-53.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
-26.4,-28.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4
-55.8,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
-34.2,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9
26.2,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4
-18.4,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7
-25.6,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9
-37.2,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
-19,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
-28.2,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
-28.2,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
-21.9,-28.6,22.4,22.4,22.4,22.4,22.4,22.4,22.4
-22.3,-28.6,23.4,23.4,23.4,23.4,23.4,23.4,23.4
-26,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
-28.3,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9
-21.9,-30.2,19.6,19.6,19.6,19.6,19.6,19.6,19.6
-16.4,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6
-28.3,-33.9,15.7,15.7,15.7,15.7,15.7,15.7,15.7
-23,-27.2,14,14,14,14,14,14,14
-30.7,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9
-19.7,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4
-27.2,-31.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6
-25.4,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9
-23.6,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
-24.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
-29.2,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3
-26.4,-33,17.6,17.6,17.6,17.6,17.6,17.6,17.6
-23.8,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4
-39.6,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9
-25.1,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9
-17.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9
-29,-36.7,21.4,21.4,21.4,21.4,21.4,21.4,21.4
-22.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4
-21.9,-30.1,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3
-13.8,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
-25.1,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
-39.6,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
-18,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
-21.6,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9
-25.2,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8
-18.9,-13,-13,-13,-13,-13,-13,-13,-13
-26.4,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
-23.2,-23.2,-23.2,-23.2,-23.2,-23.2,-23.2,-23.2,-23.2
-21.9,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7
-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1
-26.3,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1
-29,-36.2,19.6,19.6,19.6,19.6,19.6,19.6,19.6
-25.1,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
-26.4,-32.5,17.2,17.2,17.2,17.2,17.2,17.2,17.2
