1,100001,200001,300001,400001,500001,600001,700001,800001,900001,1000001
-23.2,-14.4,-16.6,-16.6,-16.6,-16.6,-16.6,-16.6,-16.6,-16.6,-16.6
-25.2,-26.5,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6
-30.7,-32.4,-31.6,-32.7,-31.7,-30.9,-32.7,-31.7,-32.7,-32.7,-32.7
-23.7,-23.7,-15.7,-18.6,-18.6,-18.6,-13.8,-18.6,-13.9,-13.9,-13.9
-30.1,-31.3,-31.8,-31.9,-31.3,-30.7,-31.9,-31.4,-31.9,-31.9,-31.9
-23,-23.6,26.6,27.2,27.4,27.4,27.4,27.4,27,27,27
-22.1,-23.8,-24,-21.6,-27.4,-18.6,-21.4,-18.6,-21.4,-21.4,-21.4
-29.5,-30,-29.9,-31.1,-30.1,-30.7,-31.1,-30.4,-31.1,-31.1,-31.1
-33.8,-35,-35,-35.8,-33.9,-18.1,-35.1,-33.5,-35.8,-35.8,-35.8
-26.7,-18.6,-18.6,-18.6,-18.6,-18.6,-18.6,-18.6,-18.6,-18.6,-18.6
-28,-30.4,-27.8,-31.1,-28.7,-27.2,-29.5,-28.8,-31.1,-31.1,-31.1
-26.7,-28.4,-28.6,-28.6,-28.6,-28.6,-28.3,-28.6,-28.6,-28.6,-28.6
-23.4,-28.5,-26.9,-19.7,-28.3,-19.6,-19.7,-19.7,-19.7,-19.7,-19.7
-24.5,21.6,-19,-19.7,-19.2,-19.6,-19.7,-19.7,-19.7,-19.7,-19.7
-29.8,-30.6,-30.5,-31.9,-30.8,-31.1,-31.5,-30.9,-31.9,-31.9,-31.9
-26.1,-27.1,-27.9,-27.8,-28,-28,-27.4,-27.7,-28,-28,-28
-21.6,-21.5,-23.5,-21.2,-22.6,-23.5,-21.2,-23.5,-23.5,-23.5,-23.5
-21.7,-22.3,-16.6,-16.6,-16.6,-16.6,-16.4,-16.6,-21.2,-21.2,-21.2
-26.7,-27.1,-28,-27.9,-27.9,-28,-27.9,-28,-28,-28,-28
-22.3,-21.6,-22.7,-22.5,-22.7,-22.7,-22.7,-22.7,-22.7,-22.7,-22.7
-34.1,-35.8,-35.7,-35.8,-35.6,-33.9,-35.8,-35.5,-35.8,-35.8,-35.8
-28.4,-18.3,-19,-19.7,-19.1,-19.1,-19.4,-19.7,-19.7,-19.7,-19.7
-22.9,-23.1,-26.6,-22,-26.5,-26.6,-26.2,-26.5,-26.6,-26.6,-26.6
-22.6,-22.9,-25.2,-25.8,-25.4,-25.4,-25.8,-25.8,-25.8,-25.8,-25.8
-22,-23.7,-23.7,-24.2,-24.2,-24.2,-24.2,-24.2,-24.2,-24.2,-24.2
-28.3,-29.5,-27.5,-32.7,-29.5,-31.6,-32.7,-31.1,-32.7,-32.7,-32.7
-35.1,-34.3,-36.6,-37.2,-35.2,-29.2,-36.6,-36.3,-37.2,-37.2,-37.2
-26,-26,-28,-27.9,-28,-28,-28,-27.9,-28,-28,-28
-22.3,-22.9,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5
-29.1,-20.4,-20.5,-21.9,-21,-21.8,-21.9,-21.9,-21.9,-21.9,-21.9
-30.5,-31.6,-31.9,-31.9,-31.9,-30.8,-31.9,-31.6,-31.9,-31.9,-31.9
-23.8,-25.1,-18,-18.6,-18.6,-18.6,-15.7,-18.6,-18.1,-18.1,-18.1
-25.5,-26.8,-28.6,-28.6,-28.6,-28.4,-28.2,-28.3,-28.6,-28.6,-28.6
-30.7,-20.2,-21.2,-21.9,-21.3,-21.3,-21.6,-21.9,-21.9,-21.9,-21.9
-21.3,-21,-21.9,-21.6,-21.5,-21.8,-20.9,-21.6,-21.9,-21.9,-21.9
-21.8,-21.7,-13.1,-20.9,-15.7,-17.1,-15.8,-16.6,-21,-21,-21
-23.9,-24.1,-26.6,-26.5,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6
-32.4,-34.2,-34.2,-34.2,-34.2,-33.7,-34.2,-34.2,-34.2,-34.2,-34.2
-25.5,-18,-18,-18,-18,-18,-18,-18,-17.9,-17.9,-17.9
-25.4,-19.8,-20.4,-21.1,-20.2,-20.7,-20.9,-21,-21.1,-21.1,-21.1
-28.7,-30.4,-30.1,-31.9,-30.2,-31.6,-31.9,-31.9,-31.9,-31.9,-31.9
-22.4,-22.8,-24.9,-24.9,-24.9,-24.9,-24.9,-24.9,-24.9,-24.9,-24.9
-26.4,-26.2,-28,-27.7,-27.7,-28,-28,-28,-28,-28,-28
-20.9,-21,-20.7,-20.6,-22,-22.6,-20.7,-22,-20.6,-20.6,-20.6
-21.3,-20.9,-22,-20.9,-21.4,-24.9,-20.9,-23.4,-22.6,-22.6,-22.6
-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1,-20.1
-30.9,-31.5,-31.7,-31.9,-31.6,-31.4,-31.9,-31.7,-31.9,-31.9,-31.9
-26.2,-27.8,-28.5,-28.6,-28.6,-28.6,-28.2,-28.6,-28.6,-28.6,-28.6
-24.2,-23.9,-26.5,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6
-24.8,-25.9,-26.6,-26.5,-26.5,-26.6,-26.6,-26.6,-26.6,-26.6,-26.6
